THIS IS A SAMPLE DATA DICTIONARY. The entered values of each field are made up examples for educational purposes and do not reflect the real study. Values and fields may be deleted and changed to fit your project.,,,,,,,,
,,,,,,,,
"This dataset for Detroit Class was created on 2013-04-12, version 1",,,,,,,,
Variable ID,Variable Name,Variable Definition,Variable Type,Allowable Values/Parameters,Requirement,Sample Values,Notes ,
STATEFP10,State code,The unique numeric code for the state. More information on state codes can be found [here](https://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=53971).,String,Numerical values of 01-50 allowed,Yes,"01, 02, 06",,
COUNTYFP10,County code,The unique numeric code for the county. More information on county codes can be found [here](https://www2.census.gov/programs-surveys/decennial/2010/partners/pdf/FIPS_StateCounty_Code.pdf).,String,Numerical values of 001 to 110 allowed,Yes,"001, 003, 005",,
TRACTCE10,Census Tract Code,Code identifying a specific census tract. More information on tract codes can be found [here](https://transition.fcc.gov/form477/Geo/more_about_census_tracts.pdf).,String,Numerical values between 0001 and 9999 with an additional two digits between .01 to .98,Yes,593300,,
GEOID10,Geographical ID,"Combined state, county, and tract identifier.",String,Numerical and alphabetical values allowed,Yes,26163593300,,
NAMELSAD10,Area Name,The full name of the census area.,String,Alphabetical characters only. Allowable values only include US locations,Yes,"Los Angeles County, CA, Cook County, IL",,
class,Land Classification,Indicates land use or classification.,String,Values allowed: residential | commercial | agricultural | urban |suburban,Yes,"Residential, Commercial, Agricultural",,
CCPCT,Child Care Percentage,Percentage of households using child care services.,Number,Percentages from 0 to 100 allowed with one decimal place,Yes,"15.2, 25.4, 32.7",,
FFFPCT,Fast Food Percentage,Percentage of restaurants classified as fast food.,Number,Percentages from 0 to 100 allowed with one decimal place,Yes,"40.3, 55.8, 22.5",,
SCPCT,Senior Citizen Percentage,Percentage of population over 65 years old.,Number,Percentages from 0 to 100 allowed with one decimal place,Yes,"10.4, 15.8, 20.1",,
WCPCT,Working Class Percentage,Percentage of households in the working class.,Number,Percentages from 0 to 100 allowed with one decimal place,Yes,"45.2, 62.1, 51.3",,
