Title,URL,Description,Keywords,Contact,Licence,Status,Authors,Last Updated,Fields,Types
AI for coding (beginner),https://ubc-library-rc.github.io/AI_for_coding_2025/,This beginner workshop provides bite-sized overviews of how ChatGPT and other LLMs can help with various aspects of coding in R. These principles can be transferred to other coding languages.,"AI, LLMs, ChatGPT, R, coding",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Data analysis and visualization,workshop
Data manipulation with dplyr,https://ubc-library-rc.github.io/data-manipulation-dplyr/,Data manipulation is a crucial part of data visualization and analysis. This workshop introduces common functions in the dplyr package to manipulate rows and columns.,"R, dplyr, data manipulation, tidyverse, data wrangling",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-02-26,Data analysis and visualization,workshop
Data visualization with ggplot2,https://ubc-library-rc.github.io/ggplot2_intro_workshop/,"This workshop introduces participants to the skills needed to make effective, eye-catching, and reproducible visualizations using the ggplot2 package in R.","R, ggplot2, data visualization, plotting, tidyverse",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-03-11,Data analysis and visualization,workshop
Designing dashboards with Tableau,https://ubc-library-rc.github.io/tableau-dashboard/,"A hands-on workshop teaching participants to combine multiple data sources, apply calculations, and assemble a dashboard using Tableau Desktop Public Edition.","Tableau, dashboards, data visualization, business intelligence, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Data analysis and visualization,workshop
Intro to data visualization with Tableau,https://ubc-library-rc.github.io/tableau-intro/,"This workshop introduces the basics of visualizing data in Tableau software, using a Statistics Canada dataset on labour and employment in Canada.","Tableau, data visualization, Statistics Canada, dashboards, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Data analysis and visualization,workshop
Intro to R and RStudio,https://ubc-library-rc.github.io/IntroR/,"An orientation suitable for people with little or no R experience, covering R terminology and the RStudio interface to help decide whether R is the right tool for your data analysis needs.","R, RStudio, statistics, data analysis, programming",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-06-04,Data analysis and visualization,workshop
Introduction to APIs,https://ubc-library-rc.github.io/intro-api/,"Orients complete beginners to APIs: articulating what an API is, formulating an API query, and retrieving information through an API call.","API, web services, data retrieval, JSON, programming",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-17,Data analysis and visualization,workshop
Introduction to Python for Data Analysis (Beginner) (archived),https://ubc-library-rc.github.io/intro-data-analysis-python/,"An orientation for beginners with little to no experience in Python for data analysis, covering basic concepts, commands, and loading/exploring data using cloud-based platforms.","Python, data analysis, programming, Jupyter, beginner",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,archived,UBC Library Research Commons,2025-02-14,Data analysis and visualization,workshop
Introduction to tidyverse,https://ubc-library-rc.github.io/intro_to_tidyverse/,"Presents some of the major packages in the tidyverse collection in R, covering common data manipulation tasks and frequently encountered errors.","R, tidyverse, data manipulation, dplyr, data wrangling",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-02-11,Data analysis and visualization,workshop
Introduction to Web Scraping,https://ubc-library-rc.github.io/intro-web-scraping/,Introduces web scraping concepts and workflow using the Data Miner browser plugin for Chrome/Edge.,"web scraping, Data Miner, browser plugin, data collection, HTML",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-06-18,Data analysis and visualization,workshop
Principles of Data Visualization,https://ubc-library-rc.github.io/basics_of_data_viz/,"An overview of the principles and practices of data visualization, covering commonly used approaches for turning messy data into clear visuals; no programming experience required.","data visualization, design principles, charts, visual communication, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-04-25,Data analysis and visualization,workshop
R showcase: Statistics Canada microdata,https://ubc-library-rc.github.io/r-microdata/,"Demonstrates how to access, explore, and analyze Statistics Canada microdata using R.","R, Statistics Canada, microdata, census data, data analysis",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-07-23,Data analysis and visualization,workshop
Regular Expressions in R,https://ubc-library-rc.github.io/RegEx_in_R/,"Introduces regular expressions (regex): what they are, when to use them, and hands-on practice within R.","R, regex, regular expressions, text processing, pattern matching",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-06-01,Data analysis and visualization,workshop
Using R Markdown (beginner),https://ubc-library-rc.github.io/r-markdown/,"Walks through the creation and use of R Markdown for producing reproducible, formatted output that combines narrative text, code, and plots.","R, R Markdown, reproducible research, reporting, RStudio",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-02-19,Data analysis and visualization,workshop
Working with data in Excel,https://ubc-library-rc.github.io/excel/,"A two-part workshop series covering Excel objects, data types, formulas, and basic visualizations, followed by working with CSV files and exploratory data analysis.","Excel, spreadsheets, data analysis, formulas, data cleaning",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-02-14,Data analysis and visualization,workshop
Building Exhibits with Omeka,https://ubc-library-rc.github.io/intro-omeka/,"An introduction to the free trial version of Omeka.net, a web publishing platform for displaying and curating digital collections.","Omeka, digital exhibits, digital scholarship, collections, web publishing",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-08-21,Digital scholarship,workshop
Building Exhibits with Wax,https://ubc-library-rc.github.io/intro-wax/,"An introduction to Wax, an open-source tool for creating simple, IIIF-compliant digital exhibits.","Wax, IIIF, digital exhibits, static site, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-09-23,Digital scholarship,workshop
Building Project Websites with Jekyll and GitHub Pages,https://ubc-library-rc.github.io/intro-project-sites/,"Teaches the skills to create and publish a static website using Jekyll and GitHub Pages, covering setup, content organization, and customization.","Jekyll, GitHub Pages, static site, web publishing, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-06-18,Digital scholarship,workshop
Creating Digital Exhibits: A Survey of Tools,https://ubc-library-rc.github.io/digital-exhibits-survey/,"A survey of digital exhibit and storytelling tools such as Omeka, Scalar, static site generators (CollectionBuilder, Wax), and narrative tools like Timeline.js and StoryMaps.","digital exhibits, Omeka, Scalar, StoryMaps, digital scholarship",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2026-06-30,Digital scholarship,workshop
Creating XML Files in oXygen,https://ubc-library-rc.github.io/creating-xml-files-in-oxygen/,An approachable introduction to computational methods in the humanities: text encoding concepts and creating a basic XML file using the oXygen editor.,"XML, oXygen, text encoding, digital humanities, markup",research.commons@ubc.ca,https://creativecommons.org/licenses/by/4.0/,active,UBC Library Research Commons,2025-07-10,Digital scholarship,workshop
